EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:21:40"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline
TimeSeries,"Katt_mints _baseline"
StartYear,1982

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1982,0,0,0,0.5504267,0.008966605,0.1232663,0.01040714,0.007349206,0.07731404,0.05886503,0.5061252,0.0004972789,0.009445718,1.076258,0.2310576,0.9462388,2.211505,0,0.01168797,0,0,0.08480725,0.001088839,0,0,0,0,0,0
1983,0,0,0,0.5877252,0.01007984,0.135772,0.01176643,0.008549928,0.08211669,0.06275382,0.517226,0.0005907074,0.01119773,1.148458,0.2405037,0.9776136,2.088494,0,0.01286565,0,0,0.08791241,0.00116102,0,0,0,0,0,0
1984,0,0,0,0.6347911,0.01067505,0.1509912,0.0116274,0.007365327,0.08816295,0.06723429,0.5520439,0.000579689,0.009805242,1.021792,0.1879002,0.9433346,1.858084,0,0.009461338,0,0,0.0873284,0.001159906,0,0,0,0,0,0
1985,0,0,0,0.5636411,0.008971875,0.1301761,0.01096331,0.008204097,0.08366107,0.06103427,0.5329963,0.0004796072,0.008177179,0.9701344,0.1634826,0.8760093,2.010554,0,0.008933632,0,0,0.08472877,0.001264168,0,0,0,0,0,0
1986,0,0,0,0.4514718,0.007033936,0.09748679,0.01029933,0.0082117,0.06336728,0.04708681,0.4407263,0.000482208,0.008408315,1.019553,0.2136769,0.7137986,2.261189,0,0.01294023,0,0,0.06775775,0.001136066,0,0,0,0,0,0
1987,0,0,0,0.7568699,0.0140659,0.1598505,0.01671146,0.009373308,0.1036191,0.07907251,0.6909202,0.000939263,0.02009266,1.741037,0.4611229,1.379275,2.686806,0,0.02852082,0,0,0.08544931,0.001453012,0,0,0,0,0,0
1988,0,0,0,0.7723473,0.01554059,0.1531196,0.01160735,0.006038481,0.08965758,0.0728531,0.7616651,0.0007952063,0.01544153,1.346887,0.3184261,1.185947,1.89386,0,0.01679244,0,0,0.06530466,0.001263898,0,0,0,0,0,0
1989,0,0,0,0.8627021,0.01393659,0.1470175,0.01082738,0.005373192,0.09407309,0.07705053,0.9176846,0.0007862357,0.01363178,1.260715,0.3045757,1.386394,2.204738,0,0.01482439,0,0,0.06785097,0.001468372,0,0,0,0,0,0
1990,0,0,0,0.730289,0.01135242,0.101799,0.01094125,0.006788701,0.07569256,0.06360088,0.8084393,0.0008836894,0.01130356,1.116252,0.2174448,0.9267735,1.933318,0,0.01169878,0,0,0.08149368,0.001815911,0,0,0,0,0,0
1991,0,0,0,0.6832026,0.01077918,0.1084305,0.01065112,0.006760115,0.07060759,0.05764728,0.7214179,0.0009479013,0.008922033,0.8691366,0.1210758,0.755792,1.558603,0,0.006518262,0,0,0.071874,0.001800526,0,0,0,0,0,0
1992,0,0,0,0.6361795,0.01143063,0.1185379,0.007049114,0.007231152,0.05919608,0.04734449,0.7000997,0.0008335039,0.006854249,0.7107025,0.06491721,0.6451361,1.590551,0,0.003697622,0,0,0.06753116,0.001798386,0,0,0,0,0,0
1993,0,0,0,0.5793193,0.01072821,0.1118074,0.005690219,0.007605936,0.04626293,0.0385326,0.6270304,0.0007208406,0.00604332,0.6676094,0.05152297,0.5643997,1.598378,0,0.003132647,0,0,0.06047004,0.001651273,0,0,0,0,0,0
1994,0,0,0,0.5884963,0.009954171,0.1192446,0.007663174,0.007559903,0.04500444,0.0401213,0.6327705,0.0006749647,0.005055051,0.5686229,0.03972118,0.4459139,1.420754,0,0.002318155,0,0,0.05715543,0.001485454,0,0,0,0,0,0
1995,0,0,0,0.5235437,0.008294859,0.1081539,0.008079067,0.006381384,0.03919938,0.03667654,0.6376029,0.0005458065,0.004412432,0.4884789,0.0316304,0.3872172,1.177086,0,0.001731627,0,0,0.05126317,0.001200242,0,0,0,0,0,0
1996,0,0,0,0.5205286,0.007556146,0.1166199,0.008687558,0.006931171,0.03970436,0.03740744,0.6739193,0.0005129729,0.003509135,0.3540472,0.01250472,0.2829012,0.8450792,0,0.0006783828,0,0,0.05714006,0.001208855,0,0,0,0,0,0
1997,0,0,0,0.4448951,0.006401801,0.1113208,0.009038319,0.007374578,0.03694477,0.03316229,0.5736865,0.0004634476,0.002902034,0.2953365,0.003637455,0.2366714,0.7293319,0,0.0002328659,0,0,0.05652094,0.001105921,0,0,0,0,0,0
1998,0,0,0,0.4042197,0.00529445,0.1150685,0.008941189,0.005662074,0.03697716,0.03154631,0.4921762,0.0004350081,0.002766495,0.2588409,0.000778416,0.2406296,0.739212,0,5.349936E-05,0,0,0.0536172,0.0008264138,0,0,0,0,0,0
1999,0,0,0,0.3734792,0.00487446,0.1123063,0.007277942,0.004839289,0.03667117,0.03010665,0.4752829,0.000354084,0.003293894,0.5100203,0.000789087,0.3519518,1.71528,0,4.268885E-05,0,0,0.05700212,0.0007212303,0,0,0,0,0,0
2000,0,0,0,0.3545623,0.004078737,0.1027368,0.007065598,0.004266316,0.03638055,0.03033854,0.5143425,0.0004375756,0.004378045,0.8462479,0.002822319,0.5652279,2.691121,0,0.000120435,0,0,0.05758077,0.0006240128,0,0,0,0,0,0
2001,0,0,0,0.3795962,0.003671144,0.1065834,0.007774481,0.00356423,0.04269925,0.03948087,0.6163368,0.0004189044,0.004407177,0.8686423,0.008231905,0.6384823,2.636323,0,0.0002763822,0,0,0.06218255,0.0005835544,0,0,0,0,0,0
2002,0,0,0,0.2932647,0.003071906,0.07037372,0.005767596,0.003338496,0.03285204,0.03165908,0.5289997,0.0003325557,0.003579352,0.6969844,0.01250293,0.5738643,1.942518,0,0.0003398356,0,0,0.04954,0.0004676453,0,0,0,0,0,0
2003,0,0,0,0.2904383,0.003149724,0.07308935,0.005028739,0.002668542,0.03517225,0.03114183,0.4613595,0.0002906664,0.002990414,0.5247629,0.01025722,0.4315672,1.447751,0,0.0001974063,0,0,0.0452991,0.0003843047,0,0,0,0,0,0
2004,0,0,0,0.2057503,0.002441684,0.05047922,0.00337264,0.002876618,0.02703241,0.0214562,0.3376057,0.0001913157,0.002651881,0.5697035,0.01149587,0.3984813,1.684978,0,0.0001888384,0,0,0.0370279,0.0003194234,0,0,0,0,0,0
2005,0,0,0,0.2179553,0.002602564,0.05610861,0.003554033,0.003832991,0.02951962,0.02308005,0.3250857,0.0002737174,0.003300728,0.6646624,0.02274429,0.4971661,2.005586,0,0.0003411379,0,0,0.03536854,0.0003194945,0,0,0,0,0,0
2006,0,0,0,0.2419908,0.003210167,0.06226936,0.004150397,0.003754143,0.03292884,0.02569351,0.3518739,0.0002760077,0.003248938,0.5596152,0.03208081,0.4464811,1.564683,0,0.0004780829,0,0,0.03262086,0.0002907639,0,0,0,0,0,0
2007,0,0,0,0.2276514,0.00288892,0.06093076,0.004753016,0.004073209,0.03537526,0.02575737,0.3628297,0.0001851778,0.002668166,0.4881285,0.03889883,0.3465865,1.356431,0,0.0006976463,0,0,0.0315226,0.0002887372,0,0,0,0,0,0
2008,0,0,0,0.2530477,0.003669892,0.07219186,0.008304878,0.006219246,0.04431038,0.03069411,0.3820998,0.0002904678,0.003252593,0.5086019,0.04411375,0.2938789,1.173472,0,0.001124264,0,0,0.03671006,0.000356376,0,0,0,0,0,0
2009,0,0,0,0.2786287,0.003333415,0.0801756,0.007668784,0.004206061,0.05203813,0.03419957,0.3844596,0.0002238197,0.002639491,0.3428274,0.01970637,0.2235385,0.7839181,0,0.0006075053,0,0,0.03656036,0.0003288192,0,0,0,0,0,0
2010,0,0,0,0.2184393,0.002093243,0.06158862,0.004749964,0.002958834,0.04945495,0.02941206,0.3454657,0.0001315889,0.002287344,0.3680239,0.01653413,0.2255207,1.018103,0,0.0005415514,0,0,0.03436105,0.0003043055,0,0,0,0,0,0
